Order #,Supplier,Date Added,Invoice Number,Metal Type,Qty,Weight,Price
53088,,17/07/2024,0,14KT,1,4.08 g.,
52809,,17/07/2024,0,14KT,1,2.9 g.,
53092,,17/07/2024,0,14KT,1,4.4 g.,
53100,,17/07/2024,0,18KT,1,5.72 g.,
53098,,17/07/2024,0,18KT,1,8.89 g.,
53102,,17/07/2024,0,Platinum,1,5.38 g.,
53103,,17/07/2024,0,14KT,1,2.49 g.,
53069,,17/07/2024,0,14KT,1,7.99 g.,
53108,,17/07/2024,0,14KT,1,7.9 g.,
53099,,17/07/2024,0,14KT,1,2.25 g.,
53104,,17/07/2024,0,14KT,1,8.25 g.,
53097,,17/07/2024,0,18KT,1,3.0 g.,
53110,,17/07/2024,0,18KT,1,4.25 g.,
53111,,17/07/2024,0,14KT,1,2.1 g.,
53092,,17/07/2024,0,14KT,1,4.52 g.,
53057,,17/07/2024,0,14KT,1,1.93 g.,
53118,,17/07/2024,0,14KT,1,7.58 g.,
